23008611|110000|昌平|changping|17|1
23008613|110000|朝阳|chaoyang|63|1
23008614|110000|东城|dongcheng|27|1
23008615|110000|大兴|daxing|15|0
23008616|110000|房山|fangshan|9|0
23008617|110000|丰台|fengtai|37|1
23008618|110000|海淀|haidian|45|1
23008619|110000|怀柔|huairou|2|0
23008620|110000|门头沟|mentougou|7|0
23008621|110000|密云|miyun|1|0
23008622|110000|平谷|pinggu|1|0
23008623|110000|石景山|shijingshan|9|1
23008624|110000|顺义|shunyi|8|0
23008625|110000|通州|tongzhou|15|1
23008626|110000|西城|xicheng|27|1
23008628|110000|延庆|yanqing|1|0
23008629|110000|亦庄开发区|yizhuangkaifaqu|3|1
